,weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.country,sys.sunrise,sys.sunset,sys.type,sys.id,snow.1h,message,rain.1h
67,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1636826125.0,25200.0,1153035.0,Kathu,200,98.3332,7.9178,76.82,78.21,76.82,76.82,1009.0,85.0,1009.0,1005.0,5.88,3.0,6.24,97.0,TH,1636845488.0,1636887853.0,1.0,9278.0,,,
68,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1636826125.0,46800.0,2206939.0,Bluff,200,168.3333,-46.6,48.76,44.19,48.76,48.76,993.0,91.0,993.0,990.0,10.92,96.0,13.31,100.0,NZ,1636823073.0,1636876664.0,,,,,
69,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1636826126.0,43200.0,4031637.0,Lavrentiya,200,-171.0,65.5833,13.44,5.99,13.44,13.44,1016.0,97.0,1016.0,1015.0,4.45,305.0,4.18,85.0,RU,1636920299.0,1636942337.0,,,,,
71,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1636826126.0,0.0,2460954.0,Araouane,200,-3.5265,18.9048,80.35,78.44,80.35,80.35,1011.0,12.0,1011.0,980.0,5.28,82.0,6.02,99.0,ML,1636784422.0,1636824998.0,,,,,
72,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1636826127.0,-14400.0,3831208.0,Qaanaaq,200,-69.3632,77.484,-8.93,-21.53,-8.93,-8.93,1019.0,56.0,1019.0,1014.0,8.16,51.0,8.3,0.0,GL,0.0,0.0,,,,,
73,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1636826127.0,46800.0,2208248.0,Kaitangata,200,169.8464,-46.2817,48.67,47.05,48.67,48.67,993.0,96.0,993.0,992.0,4.38,115.0,8.88,100.0,NZ,1636822768.0,1636876242.0,,,,,
74,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1636826127.0,18000.0,1282256.0,Hithadhoo,200,73.0833,-0.6,82.35,88.57,82.35,82.35,1011.0,76.0,1011.0,1011.0,13.06,217.0,13.85,73.0,MV,1636764465.0,1636808177.0,,,,,
75,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1636826128.0,-3600.0,3372472.0,Vila Franca do Campo,200,-25.4333,37.7167,71.2,72.01,68.41,71.2,1014.0,85.0,1014.0,1011.0,20.38,181.0,28.41,93.0,PT,1636791594.0,1636828341.0,2.0,37781.0,,,
76,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1636826128.0,39600.0,2122614.0,Okha,200,142.9478,53.5739,28.11,16.57,28.11,28.11,1000.0,78.0,1000.0,999.0,15.1,238.0,23.35,100.0,RU,1636840308.0,1636871615.0,,,,,
77,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1636825850.0,-25200.0,5546220.0,Saint George,200,-113.5841,37.1041,54.64,52.16,54.19,70.36,1027.0,50.0,,,4.61,200.0,,1.0,US,1636812690.0,1636849562.0,1.0,5832.0,,,
78,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1636826129.0,10800.0,572154.0,Borovichi,200,33.9155,58.3878,33.4,30.56,33.4,33.4,1027.0,90.0,1027.0,1014.0,3.27,306.0,3.36,79.0,RU,1636781298.0,1636810147.0,,,,,
79,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1636826129.0,-36000.0,5855927.0,Hilo,200,-155.09,19.7297,73.02,74.25,71.26,84.27,1015.0,90.0,,,1.01,259.0,1.99,59.0,US,1636820883.0,1636861295.0,2.0,2002460.0,,,
80,"[{'id': 711, 'main': 'Smoke', 'description': 'smoke', 'icon': '50d'}]",stations,10000.0,1636826130.0,-25200.0,5975004.0,High Level,200,-117.136,58.5169,21.31,13.75,21.31,21.31,1006.0,100.0,,,5.75,200.0,,75.0,CA,1636817651.0,1636846307.0,1.0,867.0,,,
